python-pyalsa 1.2.6-2
python-pyaml 21.8.3-3
python-pycparser 2.21-3
python-pygments 2.11.2-1
python-pyopenssl 21.0.0-5
python-pyparsing 2.4.7-6
python-pytz 2021.3-4
python-pywal 3.3.0-5
python-requests 2.26.0-5
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-setuptools 1:59.1.1-1
python-six 1.16.0-5
python-snowballstemmer 2.2.0-3
python-sphinx 4.4.0-1
python-sphinx-alabaster-theme 0.7.12-9
python-sphinxcontrib-applehelp 1.0.2-8
python-sphinxcontrib-devhelp 1.0.2-8
python-sphinxcontrib-htmlhelp 2.0.0-3
python-sphinxcontrib-jsmath 1.0.1-11
python-sphinxcontrib-qthelp 1.0.3-8
python-sphinxcontrib-serializinghtml 1.1.5-3
python-toml 0.10.2-7
python-tomli 2.0.0-1
python-urllib3 1.26.8-1
python-webencodings 0.5.1-9
python-yaml 5.4.1.1-4
python-yams 0.7.3-1
python-zipp 3.7.0-1
qbittorrent 4.4.0-2
qt5-base 5.15.2+kde+r297-1
qt5-charts 5.15.2-2
qt5-declarative 5.15.2+kde+r45-1
qt5-svg 5.15.2+kde+r16-2
qt5-translations 5.15.2+kde+r20-2
qt5-wayland 5.15.2+kde+r48-1
qt5-x11extras 5.15.2-2
qt6-base 6.2.3-4
qt6-svg 6.2.3-2
qt6-translations 6.2.3-1
raptor 2.0.15-17
rasqal 1:0.9.33-4
rav1e 0.4.1-1
readline 8.1.002-1
redland 1:1.0.17-8
redshift 1.12-5
reflector 2021.11-2
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.2-1
rofi 1.7.3-1
rsync 3.2.3-4
rtkit 0.13-1
run-parts 5.5-1
sane 1.1.1-1
sbc 1.5-2
scrot 1.7-1
sdl2 2.0.20-1
sed 4.8-1
semver 7.3.5-2
serd 0.30.10-1
shaderc 2021.3-1
shadow 4.11.1-1
shared-mime-info 2.0+115+gd74a913-1
slang 2.3.2-2
smbclient 4.15.5-1
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2021.4-1
spotify 1:1.1.72.439-3
sqlite 3.37.2-1
sratom 0.6.8-3
srt 1.4.4-1
stacer 1.1.0-1
starship 1.2.1-1
startup-notification 0.12-7
sudo 1.9.9-2
svt-av1 0.9.0-1
sxhkd 0.6.2-1
sysfsutils 2.1.1-1
systemd 250.3-2
systemd-libs 250.3-2
systemd-sysvcompat 250.3-2
taglib 1.12-1
talloc 2.3.3-3
tar 1.34-1
tdb 1.4.6-1
tevent 1:0.11.0-3
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
thunar 4.16.10-1
tlp 1.5.0-4
tomcat-native 1.2.31-1
tomcat10 10.0.16-1
tracker3 3.2.1-2
tree-sitter 0.20.4-1
tslib 1.22-1
ttf-iosevka-nerd 2.1.0-1
twolame 0.4.0-2
tzdata 2021e-1
udisks2 2.9.4-1
unibilium 2.1.1-1
unzip 6.0-16
usbutils 014-2
util-linux 2.37.3-2
util-linux-libs 2.37.3-2
v4l-utils 1.22.1-1
valgrind 3.18.1-2
vid.stab 1.1-3
visual-studio-code-bin 1.63.2-1
vlc 3.0.16-7
vmaf 1.5.3-1
volume_key 0.3.12-7
vulkan-headers 1:1.3.204-1
vulkan-icd-loader 1.2.203-1
wavpack 5.4.0-1
wayland 1.20.0-1
wayland-protocols 1.25-1
webrtc-audio-processing 0.3.1-3
wget 1.21.2-1
which 2.21-5
wildmidi 0.4.4-1
wireless_tools 30.pre9-3
wpa_supplicant 2:2.10-1
x264 3:0.163.r3060.5db6aa6-1
x265 3.5-1
xcb-proto 1.14.1-5
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xclip 0.13-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 1.2.1-1
xf86-video-amdgpu 21.0.0-2
xf86-video-intel 1:2.99.917+916+g31486f40-2
xf86-video-vesa 2.5.0-2
xfconf 4.16.0-2
xfsprogs 5.14.2-1
xidlehook 0.10.0-1
xkeyboard-config 2.34-1
xmlsec 1.2.33-1
xorg-fonts-encodings 1.0.5-2
xorg-server 21.1.3-1
xorg-server-common 21.1.3-1
xorg-server-xephyr 21.1.3-1
xorg-setxkbmap 1.3.2-2
xorg-xauth 1.1.1-1
xorg-xbacklight 1.2.3-2
xorg-xdpyinfo 1.3.2-4
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.5-1
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xmodmap 1.0.10-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xset 1.2.4-2
xorg-xwininfo 1.1.5-2
xorgproto 2021.5-1
xvidcore 1.3.7-2
xxhash 0.8.1-1
xz 5.2.5-2
yajl 2.1.0-5
yarn 1.22.17-1
zeromq 4.3.4-2
zimg 3.0.3-1
zip 3.0-9
zlib 1:1.2.11-5
zsh 5.8-1
zstd 1.5.2-2
zziplib 0.13.72-1
